CustomerID,Name,Region,JoinDate,LoyaltyPointsCount,PreferredContactMethod
1000,Robert Gomez,West,2024-02-25,912.0,Email
1001,John Silva,East,2020-12-01,2253.0,Phone
1002,Mark Marshall,Central,2020-08-08,1828.0,Phone
1003,David Brennan,North,2020-05-21,839.0,Email
1004,Kerry Collins,North,2023-09-12,4837.0,Mail
1006,Hannah Ray,West,2021-07-03,767.0,Phone
1007,David Kim,West,2020-05-20,1905.0,Email
1008,William Ramirez,East,2023-09-15,4597.0,Phone
1009,Zachary Bell Jr.,East,2023-04-20,4464.0,Mail
1010,Mike Davis,East,2022-03-23,1805.0,Mail
1011,Amanda Myers,West,2021-09-05,4827.0,Sms
1013,Alyssa Morgan,North,2022-07-22,3462.0,Sms
1014,Cindy Woods,East,2024-04-02,2276.0,Phone
1015,Jennifer Rodgers,North,2023-02-12,1763.0,Sms
1016,Andrea Roberts,East,2021-05-16,837.0,Email
1017,Brittney Burnett,North,2020-07-03,3112.0,Email
1018,Edwin Garrison,South-West,2020-08-31,2940.0,Sms
1019,Michelle Torres,Central,2020-11-18,4945.0,Sms
1020,Michelle Brewer,East,2021-07-14,355.0,Email
1021,Aaron Burnett,South,2024-02-13,4392.0,Email
1022,Austin Gutierrez,East,2021-11-25,3100.0,Email
1023,Dustin Medina,East,2021-06-14,4522.0,Sms
1024,Andres Avila,Central,2022-09-19,2962.0,Phone
1025,Garrett Lewis,South,2023-08-04,569.0,Email
1026,Gary Walls,North,2023-10-05,1866.0,Sms
1027,Anthony Schroeder,East,2020-10-04,653.0,Phone
1028,Haley Wagner,West,2023-11-03,827.0,Mail
1029,Gina Powers,West,2022-10-26,2277.0,Mail
1030,Alice Robinson,East,2021-08-06,2988.0,Phone
1031,Jessica Frazier,West,2021-10-20,3032.0,Sms
1032,Terri Long,East,2022-10-23,1716.0,Sms
1033,Paul Perkins,East,2022-03-16,584.0,Phone
1034,Heather Smith,Central,2022-09-16,4375.0,Phone
1035,Lorraine Rodriguez,East,2022-09-26,1338.0,Mail
1036,Robert Bishop,South-West,2020-09-14,3108.0,Sms
1037,Lisa Sanders,West,2020-06-03,4562.0,Phone
1038,Jason Ford,East,2023-10-09,2656.0,Email
1039,Brandy Good,West,2023-05-21,1876.0,Email
1041,David Beltran,East,2021-01-18,2193.0,Email
1042,Christopher Dodson,North,2023-10-30,1728.0,Sms
1043,Eric Pena,West,2022-06-30,1741.0,Mail
1044,Anita Huerta,East,2022-04-08,3241.0,Mail
1045,Dr. Susan Bailey,North,2020-10-02,1170.0,Sms
1046,Tyler Colon,Central,2021-03-03,1143.0,Phone
1047,Ashley Pearson,West,2020-10-04,4598.0,Sms
1048,Dr. Donald Proctor,North,2024-03-17,4788.0,Mail
1049,Rebecca Jordan,West,2022-10-08,4780.0,Mail
1050,Jeffrey Mclaughlin,East,2022-03-28,2965.0,Phone
1051,Amy Nguyen,Central,2024-02-13,1133.0,Mail
1052,Brandon Hinton,South-West,2022-11-10,744.0,Email
1053,Benjamin Cline,East,2022-01-25,898.0,Phone
1054,Laura Mcdonald,South,2022-12-03,1310.0,Mail
1055,William Benitez,East,2020-11-04,4885.0,Email
1056,Kristina Wilson,East,2023-05-15,3152.0,Mail
1057,Kathy Hall,North,2023-10-27,4881.0,Mail
1058,Steven Jackson,Central,2020-06-26,4334.0,Sms
1059,Steve Massey,West,2020-08-06,4532.0,Email
1060,Mr. Christopher Thompson,South,2023-04-10,938.0,Sms
1061,Taylor Kaufman,North,2021-07-23,2786.0,Email
1062,Ashley Harmon,South,2024-02-13,2404.0,Mail
1063,Howard Case,South-West,2021-02-15,1295.0,Mail
1064,Joshua Cline,East,2024-02-19,26.0,Sms
1065,Daniel Adams,Central,2023-07-02,4100.0,Phone
1066,Derrick Myers,North,2022-04-06,4158.0,Email
1067,Lawrence Pearson,East,2023-04-29,2444.0,Phone
1068,Melissa Gutierrez,East,2023-12-25,1252.0,Sms
1069,Virginia Warren,North,2023-08-24,1323.0,Email
1070,Brittany Johnson,East,2021-06-04,4906.0,Sms
1071,Christopher Frost,East,2020-08-21,4002.0,Email
1072,Shannon Schmitt,East,2022-08-23,916.0,Sms
1073,Matthew Clark,Central,2023-08-21,2519.0,Phone
1074,Alyssa Evans,West,2021-10-27,474.0,Phone
1075,Joseph Chavez,North,2023-01-01,4647.0,Email
1076,Glenn Shelton,East,2024-05-01,701.0,Mail
1077,Amy Espinoza,North,2021-05-29,566.0,Phone
1078,Danielle Fuller,South-West,2023-12-08,1051.0,Mail
1079,Zachary Thompson MD,East,2022-09-05,4503.0,Phone
1080,Thomas Parker,South-West,2023-02-28,2171.0,Mail
1081,Ryan White,South,2020-09-04,1735.0,Phone
1082,Connor Martin,Central,2023-01-05,2553.0,Mail
1083,Jacqueline Bishop,South,2020-06-05,3059.0,Mail
1084,Martha Mccall,North,2022-05-31,4239.0,Mail
1085,Steven Wright,Central,2021-08-22,991.0,Phone
1086,Robert Rodriguez,East,2023-03-01,1840.0,Email
1087,Carla Tran,East,2020-07-22,2769.0,Email
1088,Lindsay Torres,East,2021-12-30,4819.0,Phone
1089,Matthew Hernandez,North,2023-04-12,4820.0,Phone
1090,Nicholas Dunlap,South,2020-10-11,58.0,Email
1091,Brianna Thomas,South-West,2023-05-23,482.0,Phone
1092,Timothy Hill,West,2023-09-07,552.0,Email
1093,Christian Medina,East,2023-02-04,2706.0,Email
1094,Robert Jones,West,2023-11-18,4211.0,Phone
1095,Dr. Jason Scott,South,2021-04-07,2281.0,Mail
1096,Patricia Rogers,South,2024-01-10,1755.0,Phone
1097,Laura Jones,East,2023-12-07,4677.0,Mail
1098,Jeffrey Maxwell,West,2022-01-27,1990.0,Mail
1099,Lori Howard,East,2021-02-27,3334.0,Phone
1100,Michael Simon,East,2020-12-27,772.0,Email
